train/reward_min,train/learning_rate,time/time_elapsed,train/std,train/reward_mean,train/reward_max,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/reward,train/policy_loss,time/fps,time/iterations,time/total_timesteps
-8.839778,5e-05,40632,4.431232452392578,-0.5490578413009644,7.5002556,-84.29330444335938,0.0,150.11317443847656,605799,-0.09205831,934.9833374023438,238,605800,9692800
-43.980446,5e-05,40639,4.431599140167236,14.499738693237305,103.33161,-84.29491424560547,5.960464477539063e-08,12452.3916015625,605899,25.163347,6244.02734375,238,605900,9694400
-11.357348,5e-05,40646,4.433699607849121,1.5949112176895142,17.5602,-84.30921173095703,-0.006406664848327637,53.369842529296875,605999,10.087337,-180.58303833007812,238,606000,9696000
-4.4192286,5e-05,40652,4.434298992156982,0.08248239755630493,3.5356631,-84.31277465820312,-0.13577914237976074,7.739530086517334,606099,-4.4192286,68.08444213867188,238,606100,9697600
-13.442212,5e-05,40659,4.4356794357299805,0.474317342042923,10.121686,-84.32184600830078,-0.18355321884155273,167.7698974609375,606199,-1.5402352,-690.9329223632812,238,606200,9699200
-1.8873752,5e-05,40666,4.436811923980713,0.6462637186050415,4.7467823,-84.32898712158203,0.3245652914047241,60.82489776611328,606299,-0.118578255,-603.9481201171875,238,606300,9700800
-11.140952,5e-05,40672,4.437254428863525,0.5998282432556152,10.916214,-84.33228302001953,-0.027954578399658203,425.643310546875,606399,-5.2748156,1578.5513916015625,238,606400,9702400
-6.4155636,5e-05,40679,4.438197612762451,0.9883724451065063,7.606616,-84.33838653564453,-0.19563424587249756,9.477195739746094,606499,2.1911683,60.63890075683594,238,606500,9704000
-43.352592,5e-05,40686,4.438887119293213,0.44230958819389343,62.526768,-84.34284210205078,0.4849434494972229,626.4517211914062,606599,0.00021314278,-1837.13232421875,238,606600,9705600
-5.4517884,5e-05,40692,4.440426826477051,0.23978498578071594,4.042501,-84.35285186767578,5.882978439331055e-05,27.338119506835938,606699,-5.4517884,-273.33795166015625,238,606700,9707200
-45.982254,5e-05,40699,4.440510272979736,-1.1366431713104248,40.48347,-84.35357666015625,0.49839407205581665,793.6292724609375,606799,8.820415,-1821.65283203125,238,606800,9708800
-5.8766904,5e-05,40705,4.441802978515625,1.390472173690796,7.6094785,-84.36193084716797,0.2897797226905823,42.319602966308594,606899,2.932248,258.60687255859375,238,606900,9710400
-3.396538,5e-05,40712,4.4427571296691895,0.05692445486783981,2.4503965,-84.36817169189453,0.21471476554870605,6.823619842529297,606999,-1.7801543,-85.60786437988281,238,607000,9712000
-11.693186,5e-05,40719,4.443678855895996,2.5298573970794678,16.9269,-84.37438201904297,0.08359581232070923,59.36143493652344,607099,0.61268353,-58.59617614746094,238,607100,9713600
-3.0150807,5e-05,40725,4.444014549255371,0.1777486652135849,3.5941257,-84.3763198852539,0.34860318899154663,9.591347694396973,607199,0.7891372,-206.23886108398438,238,607200,9715200
-16.333494,5e-05,40732,4.444787979125977,-1.2603750228881836,8.190771,-84.38189697265625,0.0027097463607788086,339.7652893066406,607299,-16.333494,1398.678955078125,238,607300,9716800
-5.759515,5e-05,40739,4.445478916168213,-0.16195476055145264,6.4614773,-84.38623046875,-0.2892570495605469,40.56163787841797,607399,6.4614773,426.6953430175781,238,607400,9718400
-33.86474,5e-05,40745,4.44571590423584,0.3694494664669037,25.968058,-84.38803100585938,0.5136713981628418,282.33380126953125,607499,5.768065,1030.3089599609375,238,607500,9720000
-8.903041,5e-05,40752,4.447192192077637,0.6465688347816467,5.8597803,-84.3976821899414,-1.6380302906036377,64.48853302001953,607599,2.7276323,-239.09271240234375,238,607600,9721600
-8.476805,5e-05,40759,4.447764873504639,9.64650821685791,90.82083,-84.40145111083984,0.20782148838043213,2796.093017578125,607699,-8.476805,-3698.35107421875,238,607700,9723200
-1.5665748,5e-05,40765,4.448932647705078,1.908624529838562,5.7594204,-84.40894317626953,0.6197025775909424,111.60895538330078,607799,1.206036,-624.8386840820312,238,607800,9724800
-3.6650062,5e-05,40772,4.449230194091797,0.4666324257850647,3.7151,-84.41039276123047,0.37863796949386597,23.86410903930664,607899,1.6557293,-363.39031982421875,238,607900,9726400
-32.1365,5e-05,40779,4.450211524963379,-2.0471723079681396,13.921263,-84.41576385498047,0.12046170234680176,163.1483154296875,607999,11.342632,-78.68701934814453,238,608000,9728000
-3.2612538,5e-05,40785,4.450525760650635,-0.0046532005071640015,3.8880386,-84.41934204101562,0.45799940824508667,8.604554176330566,608099,-3.2612538,202.7523651123047,238,608100,9729600
-9.024736,5e-05,40792,4.451080322265625,0.5945863723754883,6.9917436,-84.42290496826172,0.5632131099700928,53.98747634887695,608199,1.4377525,483.2730407714844,238,608200,9731200
-4.881967,5e-05,40798,4.452306270599365,1.3020678758621216,12.172025,-84.43075561523438,0.6919260025024414,11.236089706420898,608299,3.8823643,43.671634674072266,238,608300,9732800
-24.274668,5e-05,40805,4.452557563781738,2.0721280574798584,40.852406,-84.43395233154297,0.2963748574256897,605.5437622070312,608399,-16.844418,953.5079956054688,238,608400,9734400
-5.343734,5e-05,40812,4.45339298248291,-0.06818446516990662,3.8057492,-84.43805694580078,-0.2449253797531128,43.876399993896484,608499,1.195332,-494.42510986328125,238,608500,9736000
-30.908722,5e-05,40818,4.453579902648926,3.5123660564422607,69.89109,-84.43929290771484,0.39256757497787476,111.81353759765625,608599,-1.5840518,207.03860473632812,238,608600,9737600
-3.8838446,5e-05,40825,4.454524517059326,0.8206961750984192,4.7671723,-84.44548797607422,0.2402561902999878,25.945964813232422,608699,1.7994443,211.98619079589844,238,608700,9739200
-4.4148145,5e-05,40832,4.455142021179199,0.5811707973480225,6.4108458,-84.44915008544922,-1.1920928955078125e-07,11.306795120239258,608799,-4.4148145,121.0836410522461,238,608800,9740800
-16.132967,5e-05,40838,4.457375526428223,-0.5108770132064819,14.494036,-84.46387481689453,0.297443687915802,132.72402954101562,608899,-16.132967,-431.3451843261719,238,608900,9742400
-4.186672,5e-05,40845,4.457883834838867,-0.32841160893440247,3.8838112,-84.46722412109375,0.3755651116371155,13.077584266662598,608999,-0.989333,-228.62661743164062,238,609000,9744000
-8.724619,5e-05,40852,4.4594645500183105,2.2938923835754395,42.468742,-84.47760009765625,0.08756375312805176,375.6251220703125,609099,19.390957,-1312.0135498046875,238,609100,9745600
