time/total_timesteps,time/fps,train/reward,train/reward_mean,train/reward_max,time/iterations,time/time_elapsed,train/reward_min,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/approx_kl
8173568,245,-0.5051382,0.3448002338409424,88.37766,3991,33280,-132.65643,58.024696350097656,39900,-43.79645609855652,-0.004387535582645796,137.43834600448608,0.0001,0.1,0.0966796875,0.7328014373779297,1.0978021621704102,0.0028053615
8175616,245,10.248917,0.37578633427619934,80.41122,3992,33288,-120.42089,63.62181091308594,39910,-43.80002818107605,0.004319146105262917,139.74419317245483,0.0001,0.1,0.105908203125,0.8763054609298706,1.0979219675064087,0.0058203754
8177664,245,-5.3148518,0.21318933367729187,21.118649,3993,33296,-16.21326,76.0504150390625,39920,-43.802220249176024,-0.0011778771033277736,130.8678590774536,0.0001,0.1,0.00341796875,0.829227089881897,1.0980043411254883,0.0005680826
8179712,245,5.8145885,0.3300854563713074,86.43757,3994,33304,-130.09209,9.901721000671387,39930,-43.80385346412659,0.00030360795790329576,25.576365923881532,0.0001,0.1,0.258251953125,0.8676570057868958,1.0981087684631348,0.0071298843
8181760,245,0.45421228,0.3589005470275879,80.14896,3995,33313,-124.56593,68.37752532958984,39940,-43.80624327659607,-0.0014906689553754403,154.94533710479737,0.0001,0.1,0.093359375,0.8465152978897095,1.0980322360992432,0.00304007
8183808,245,-2.2402318,0.3181987702846527,20.15355,3996,33321,-29.334856,60.39564895629883,39950,-43.80410537719727,0.0019067689223447814,125.72954521179199,0.0001,0.1,0.062060546875,0.8425861597061157,1.0979841947555542,0.0034211501
8185856,245,7.2287436,0.26415660977363586,84.49759,3997,33329,-131.03844,19.919355392456055,39960,-43.80299348831177,-0.0010573491395916789,39.92359466552735,0.0001,0.1,0.12158203125,0.8878031373023987,1.097939372062683,0.005572683
8187904,245,-3.4059381,0.33384233713150024,85.782906,3998,33337,-131.45389,54.020668029785156,39970,-43.79902911186218,-0.0015948972781188787,113.65237760543823,0.0001,0.1,0.147509765625,0.8202783465385437,1.0975559949874878,0.0061905244
8189952,245,1.109598,0.41001054644584656,38.08506,3999,33346,-29.068024,128.76844787597656,39980,-43.79266381263733,-0.0007503554195864126,130.9937508583069,0.0001,0.1,0.055810546875,0.8646124005317688,1.0975874662399292,0.0043268176
8192000,245,0.9807253,0.18457826972007751,80.92171,4000,33354,-127.66929,36.740116119384766,39990,-43.793974208831784,-0.0028190348180942237,71.12405390739441,0.0001,0.1,0.01162109375,0.7956680059432983,1.0976351499557495,0.0013959327
8194048,245,-0.63422656,0.3256886303424835,81.35346,4001,33362,-128.99345,25.42250633239746,40000,-43.79717607498169,-0.005367945900070481,75.53749344348907,0.0001,0.1,0.1609375,0.8050599694252014,1.0976637601852417,0.008480219
8196096,245,-0.008338693,0.3890390396118164,82.60533,4002,33370,-130.06223,43.06231689453125,40010,-43.79550914764404,-0.0009674624569015577,119.87312421798705,0.0001,0.1,0.020263671875,0.874216616153717,1.0976165533065796,0.0015448928
8198144,245,10.99275,0.27966001629829407,19.15195,4003,33379,-16.454403,91.78363037109375,40020,-43.79414358139038,0.0007970469596330076,143.8106810569763,0.0001,0.1,0.094921875,0.8548884391784668,1.0975772142410278,0.0035023044
8200192,245,-1.4947408,0.250573992729187,81.767715,4004,33387,-131.47333,14.324453353881836,40030,-43.79275140762329,0.017049559438601137,30.839661765098572,0.0001,0.1,0.348193359375,0.8812292218208313,1.0974969863891602,0.041383095
8202240,245,0.15772524,0.34017810225486755,77.38464,4005,33395,-127.02226,92.05847930908203,40040,-43.79430627822876,-0.0031062708207173274,118.0078992843628,0.0001,0.1,0.072216796875,0.8474904894828796,1.097586989402771,0.002547748
8204288,245,2.0351658,0.38171353936195374,39.87158,4006,33404,-31.485638,50.244876861572266,40050,-43.79284934997558,0.006380277979769744,133.52131576538085,0.0001,0.1,0.320751953125,0.8526618480682373,1.0975333452224731,0.0117023215
8206336,245,6.598605,0.1956421285867691,85.083694,4007,33412,-138.43738,36.83493423461914,40060,-43.79302849769592,-5.826501292176545e-05,68.40940599441528,0.0001,0.1,0.08203125,0.8287932276725769,1.0975439548492432,0.006571745
8208384,245,-0.4740359,0.3556748628616333,82.42602,4008,33460,-131.02231,31.776609420776367,40070,-43.79169592857361,-0.0009528075956040993,117.19620399475097,0.0001,0.1,0.16728515625,0.7548638582229614,1.097434401512146,0.0059015774
8210432,245,0.826337,0.40714433789253235,85.38862,4009,33468,-137.82921,88.4888916015625,40080,-43.78835725784302,-0.0029329063283512367,141.58322978019714,0.0001,0.1,0.019091796875,0.860375702381134,1.0973142385482788,0.0013376499
8212480,245,-2.1370533,0.21774975955486298,17.122599,4010,33476,-16.055687,78.67221069335938,40090,-43.78638954162598,-0.002114134248404298,155.74745683670045,0.0001,0.1,0.00966796875,0.8286556601524353,1.0973093509674072,0.0010901438
8214528,245,0.508064,0.304390013217926,78.83017,4011,33485,-130.24428,12.857300758361816,40100,-43.789211225509646,-0.0020696114806924015,30.53571698665619,0.0001,0.1,0.059521484375,0.840277910232544,1.0974867343902588,0.0035468587
8216576,245,0.912239,0.3682381510734558,84.46862,4012,33493,-136.6236,78.89521789550781,40110,-43.792416191101076,0.0005879715026821941,136.07451753616334,0.0001,0.1,0.06943359375,0.8318235874176025,1.0975041389465332,0.0034980269
8218624,245,3.5348325,0.3441644012928009,31.220303,4013,33501,-31.196934,42.32872009277344,40120,-43.792849445343016,-0.001706133020343259,174.3337600708008,0.0001,0.1,0.042578125,0.8155470490455627,1.0975205898284912,0.002828638
8220672,245,-6.3020663,0.23286578059196472,82.80825,4014,33509,-135.70738,33.07113265991211,40130,-43.790214157104494,-0.0036350267298985274,62.94588651657104,0.0001,0.1,0.0587890625,0.8446208238601685,1.097244381904602,0.0027381277
8222720,245,0.2758227,0.3184654116630554,79.78783,4015,33518,-128.5798,41.72837448120117,40140,-43.78225593566894,-0.0040948297682916746,139.8466860294342,0.0001,0.1,0.037255859375,0.7539524435997009,1.0970786809921265,0.001850278
8224768,245,19.440847,0.3979276120662689,83.66739,4016,33526,-137.50656,111.17902374267578,40150,-43.78067059516907,0.0013719708163989707,158.2965313911438,0.0001,0.1,0.066162109375,0.7273980379104614,1.0970666408538818,0.008302677
8226816,245,3.1540878,0.19174695014953613,36.643436,4017,33534,-67.122986,68.1881332397461,40160,-43.782003831863406,-0.001982203949592076,162.51864404678344,0.0001,0.1,0.008447265625,0.7617847919464111,1.097178339958191,0.0014738396
8228864,245,0.90251046,0.3110843300819397,78.258286,4018,33543,-125.8197,14.686397552490234,40170,-43.79237875938416,0.004323177234618924,30.251222324371337,0.0001,0.1,0.41376953125,0.7861881852149963,1.097651720046997,0.009775492
8230912,245,0.77241254,0.3916744291782379,87.4475,4019,33551,-133.47165,51.59374237060547,40180,-43.795006322860715,-0.003632570305489935,118.71352634429931,0.0001,0.1,0.084912109375,0.847797155380249,1.0976351499557495,0.0031212866
8232960,245,0.4455937,0.30285197496414185,20.501614,4020,33559,-28.96116,74.36470031738281,40190,-43.79519982337952,0.0008168184984242543,150.00444202423097,0.0001,0.1,0.05439453125,0.8439738750457764,1.0976741313934326,0.0038372725
8235008,245,1.971926,0.26322850584983826,85.94635,4021,33568,-130.18175,17.020610809326172,40200,-43.79168996810913,-0.0007502877502702177,38.130106353759764,0.0001,0.1,0.1619140625,0.8927193284034729,1.097415566444397,0.001878412
8237056,245,-3.3014255,0.3441247344017029,86.09424,4022,33576,-132.38689,57.67205047607422,40210,-43.78915939331055,-0.0034554277925053613,120.49863634109497,0.0001,0.1,0.057080078125,0.8200235366821289,1.097460150718689,0.0020518939
8239104,245,-2.6894655,0.37307336926460266,38.720848,4023,33584,-30.0844,74.57367706298828,40220,-43.78849992752075,-0.0053227322932798415,136.89908905029296,0.0001,0.1,0.04619140625,0.8502963781356812,1.0973294973373413,0.0019954043
8241152,245,1.4384285,0.2205674797296524,82.68167,4024,33592,-130.0296,36.21607971191406,40230,-43.78342714309692,-0.0016639797599054874,74.47467470169067,0.0001,0.1,0.0080078125,0.812678337097168,1.09718918800354,0.0011801481
8243200,245,2.4056098,0.35330015420913696,90.73685,4025,33601,-136.58592,19.441638946533203,40240,-43.777430820465085,-0.0013285906403325497,83.1501501083374,0.0001,0.1,0.177783203125,0.8038113713264465,1.0970447063446045,0.003571923
8245248,245,-0.29868466,0.39459511637687683,82.480804,4026,33609,-129.07655,64.81210327148438,40250,-43.77720408439636,-0.0017678689357126132,140.0168483734131,0.0001,0.1,0.07900390625,0.8629555702209473,1.0967717170715332,0.009820977
8247296,245,-14.401762,0.24307824671268463,20.369383,4027,33617,-16.046705,90.57267761230469,40260,-43.76746759414673,-0.0021019868727307767,139.18533411026002,0.0001,0.1,0.140869140625,0.8539585471153259,1.096579670906067,0.003310054
8249344,245,-1.0850749,0.28854820132255554,85.265396,4028,33626,-130.76907,17.611404418945312,40270,-43.764232063293456,-0.0005597750598099083,31.14228262901306,0.0001,0.1,0.0779296875,0.8915507793426514,1.0964784622192383,0.0044405535
8251392,245,0.6994862,0.331691175699234,77.33997,4029,33634,-121.041084,33.43682098388672,40280,-43.76181406974793,-0.002357467147521675,125.87590141296387,0.0001,0.1,0.031005859375,0.8626936674118042,1.096452236175537,0.001960292
8253440,245,-3.7018986,0.3549243211746216,39.927544,4030,33642,-30.448315,53.75944900512695,40290,-43.761230278015134,-0.0016562818054808304,117.52386865615844,0.0001,0.1,0.00126953125,0.8663704991340637,1.0963947772979736,0.00042390745
8255488,245,4.123724,0.24292834103107452,86.23876,4031,33650,-135.48738,26.518478393554688,40300,-43.76112785339355,-0.003771821403643116,59.535048484802246,0.0001,0.1,0.033154296875,0.860183596611023,1.096479058265686,0.0018396422
8257536,245,-1.1615223,0.33998990058898926,83.25472,4032,33659,-131.40279,26.612146377563477,40310,-43.763975048065184,-0.004983377805911004,124.20835366249085,0.0001,0.1,0.08828125,0.6371989250183105,1.0966062545776367,0.002786478
8259584,245,-0.9877584,0.4283016622066498,90.500786,4033,33667,-136.34264,48.507476806640625,40320,-43.76797676086426,-0.0016365711693651975,127.76852169036866,0.0001,0.1,0.045166015625,0.8793419599533081,1.0966672897338867,0.002193206
8261632,245,4.7256317,0.22064518928527832,20.903133,4034,33675,-16.227074,85.00560760498047,40330,-43.76742558479309,-0.0013444951764540747,247.9593270301819,0.0001,0.1,0.011279296875,0.625514566898346,1.0966264009475708,0.0024673203
8263680,245,-2.6296067,0.32593822479248047,87.72308,4035,33684,-130.2824,18.928428649902344,40340,-43.766830158233645,-0.003298375403392129,32.79815127849579,0.0001,0.1,0.097216796875,0.8512046933174133,1.0966044664382935,0.003357762
8265728,245,0.78418577,0.3600114583969116,84.06162,4036,33692,-131.45244,114.52978515625,40350,-43.76643099784851,0.000616293351049535,127.42019062042236,0.0001,0.1,0.084130859375,0.8692448735237122,1.0966745615005493,0.007174435
8267776,245,18.621254,0.32344111800193787,28.138823,4037,33700,-29.35912,64.91123962402344,40360,-43.76817135810852,-0.00140185115596978,129.6739987373352,0.0001,0.1,0.042236328125,0.870521605014801,1.0967520475387573,0.002860156
8269824,245,1.9408885,0.24881578981876373,84.266884,4038,33708,-128.87973,28.044103622436523,40370,-43.764106607437135,0.007074644864769652,48.79008779525757,0.0001,0.1,0.28486328125,0.8919122219085693,1.0962506532669067,0.008049152
8271872,245,2.0534234,0.32846367359161377,82.89228,4039,33717,-124.6147,73.81510925292969,40380,-43.75586671829224,-0.004719703638693317,108.79056916236877,0.0001,0.1,0.0734375,0.8531405925750732,1.0961722135543823,0.0026440877
8273920,245,73.89812,0.3411162495613098,80.85627,4040,33725,-126.53255,61.48038101196289,40390,-43.75470395088196,-0.0031023583229398354,126.49323329925537,0.0001,0.1,0.05693359375,0.8824933171272278,1.0962164402008057,0.0024743062
8275968,245,0.66826713,0.259949266910553,44.39516,4041,33733,-62.849297,81.82963562011719,40400,-43.75698580741882,-0.0020379881461849436,121.72995491027832,0.0001,0.1,0.0060546875,0.8533496856689453,1.0962629318237305,0.0009985727
